*** UNIVERSALMUTATOR ***
MUTATING WITH RULES: universal.rules, solidity.rules, c_like.rules
SKIPPED 182 MUTANTS ONLY CHANGING STRING LITERALS
15110 MUTANTS GENERATED BY RULES
PROCESSING MUTANT: 66:         address borrower;        // borrower address to take from  ==>          address borrower;        //  address to take from...VALID [written to mutants/Auctions/Auctions.mutant.0.sol] 
PROCESSING MUTANT: 431:             kickResult_.lup = _lup(deposits_, poolState_.debt + vars.amountToDebitFromDeposit); // recalculate the LUP with the amount to cover bond  ==>              kickResult_.lup = _lup(deposits_, poolState_.debt + vars.amountToDebitFromDeposit); //  the LUP with the amount to cover bond...VALID [written to mutants/Auctions/Auctions.mutant.213.sol] 
PROCESSING MUTANT: 432:             kickResult_.amountToCoverBond = 0;                                                  // entire bond is covered from deposit, no additional amount to be send by lender  ==>              kickResult_.amountToCoverBond = 0;                                                  // entire bond is covered from deposit, no additional amount to be sbegin by lender...VALID [written to mutants/Auctions/Auctions.mutant.214.sol] 
PROCESSING MUTANT: 432:             kickResult_.amountToCoverBond = 0;                                                  // entire bond is covered from deposit, no additional amount to be send by lender  ==>              kickResult_.amountToCoverBond = 0;                                                  //  bond is covered from deposit, no additional amount to be send by lender...VALID [written to mutants/Auctions/Auctions.mutant.215.sol] 
PROCESSING MUTANT: 434:             kickResult_.amountToCoverBond -= vars.amountToDebitFromDeposit;                     // lender should send additional amount to cover bond  ==>              kickResult_.amountToCoverBond -= vars.amountToDebitFromDeposit;                     // lbeginer should send additional amount to cover bond...VALID [written to mutants/Auctions/Auctions.mutant.216.sol] 
PROCESSING MUTANT: 434:             kickResult_.amountToCoverBond -= vars.amountToDebitFromDeposit;                     // lender should send additional amount to cover bond  ==>              kickResult_.amountToCoverBond -= vars.amountToDebitFromDeposit;                     //  should send additional amount to cover bond...VALID [written to mutants/Auctions/Auctions.mutant.217.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral != 0) {...VALID [written to mutants/Auctions/Auctions.mutant.218.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral <= 0) {...VALID [written to mutants/Auctions/Auctions.mutant.219.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (vars.amountToDebitFromDeposit >= vars.bucketDeposit && vars.bucketCollateral == 0) {...VALID [written to mutants/Auctions/Auctions.mutant.220.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral >= 0) {...VALID [written to mutants/Auctions/Auctions.mutant.221.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (vars.amountToDebitFromDeposit > vars.bucketDeposit && vars.bucketCollateral == 0) {...VALID [written to mutants/Auctions/Auctions.mutant.222.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral > 0) {...VALID [written to mutants/Auctions/Auctions.mutant.223.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral < 0) {...VALID [written to mutants/Auctions/Auctions.mutant.224.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 1) {...VALID [written to mutants/Auctions/Auctions.mutant.225.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == (0+1)) {...VALID [written to mutants/Auctions/Auctions.mutant.226.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (false) {...VALID [written to mutants/Auctions/Auctions.mutant.227.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (0==1) {...VALID [written to mutants/Auctions/Auctions.mutant.228.sol] 
PROCESSING MUTANT: 441:         if (vars.amountToDebitFromDeposit == vars.bucketDeposit && vars.bucketCollateral == 0) {  ==>          if (vars.amountToDebitFromDeposit == vars.bucketDeposit && (1==1)) {...VALID [written to mutants/Auctions/Auctions.mutant.229.sol] 
PROCESSING MUTANT: 461:         emit RemoveQuoteToken(msg.sender, index_, vars.amountToDebitFromDeposit, vars.redeemedLPs, kickResult_.lup);  ==>          emit RemoveQuoteToken(msg.sender, index_, vars.redeemedLPs, vars.amountToDebitFromDeposit, kickResult_.lup);...VALID [written to mutants/Auctions/Auctions.mutant.230.sol] 
PROCESSING MUTANT: 484:         Borrower memory borrower = loans_.borrowers[borrowerAddress_];  ==>          Borrower storage borrower = loans_.borrowers[borrowerAddress_];...VALID [written to mutants/Auctions/Auctions.mutant.231.sol] 
PROCESSING MUTANT: 486:         if (borrower.collateral == 0) revert InsufficientCollateral(); // revert if borrower's collateral is 0  ==>          if (borrower.collateral <= 0) revert InsufficientCollateral(); // revert if borrower's collateral is 0...VALID [written to mutants/Auctions/Auctions.mutant.232.sol] 
PROCESSING MUTANT: 486:         if (borrower.collateral == 0) revert InsufficientCollateral(); // revert if borrower's collateral is 0  ==>          if (borrower.collateral == 0) revert InsufficientCollateral(); // revert if borrower's collateral is 1...VALID [written to mutants/Auctions/Auctions.mutant.233.sol] 
PROCESSING MUTANT: 486:         if (borrower.collateral == 0) revert InsufficientCollateral(); // revert if borrower's collateral is 0  ==>          if (borrower.collateral == 0) revert InsufficientCollateral(); // revert if borrower's collateral is -1...VALID [written to mutants/Auctions/Auctions.mutant.234.sol] 
PROCESSING MUTANT: 486:         if (borrower.collateral == 0) revert InsufficientCollateral(); // revert if borrower's collateral is 0  ==>          if (borrower.collateral == 0) revert InsufficientCollateral(); // revert if borrower's collateral is (0+1)...VALID [written to mutants/Auctions/Auctions.mutant.235.sol] 
PROCESSING MUTANT: 486:         if (borrower.collateral == 0) revert InsufficientCollateral(); // revert if borrower's collateral is 0  ==>          if (borrower.collateral == 0) revert InsufficientCollateral(); // revert if borrower's collateral is (0-1)...VALID [written to mutants/Auctions/Auctions.mutant.236.sol] 
PROCESSING MUTANT: 486:         if (borrower.collateral == 0) revert InsufficientCollateral(); // revert if borrower's collateral is 0  ==>          if (borrower.collateral == 0) revert InsufficientCollateral(); //  if borrower's collateral is 0...VALID [written to mutants/Auctions/Auctions.mutant.237.sol] 
PROCESSING MUTANT: 512:         poolState_.debt   = Maths.wmul(poolState_.t0Debt, poolState_.inflator);  ==>          poolState_.debt   = Maths.wmul( poolState_.inflator,poolState_.t0Debt);...VALID [written to mutants/Auctions/Auctions.mutant.238.sol] 
PROCESSING MUTANT: 552:         if (collateral_ == 0) revert InvalidAmount();  ==>          if (collateral_ <= 0) revert InvalidAmount();...VALID [written to mutants/Auctions/Auctions.mutant.239.sol] 
PROCESSING MUTANT: 554:         Borrower memory borrower = loans_.borrowers[borrowerAddress_];  ==>          Borrower storage borrower = loans_.borrowers[borrowerAddress_];...VALID [written to mutants/Auctions/Auctions.mutant.240.sol] 
PROCESSING MUTANT: 557:             (poolState_.poolType == uint8(PoolType.ERC721) && borrower.collateral < 1e18) || // revert in case of NFT take when there isn't a full token to be taken  ==>              (poolState_.poolType >= uint8(PoolType.ERC721) && borrower.collateral < 1e18) || // revert in case of NFT take when there isn't a full token to be taken...VALID [written to mutants/Auctions/Auctions.mutant.241.sol] 
PROCESSING MUTANT: 557:             (poolState_.poolType == uint8(PoolType.ERC721) && borrower.collateral < 1e18) || // revert in case of NFT take when there isn't a full token to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC721) && borrower.collateral <= 1e18) || // revert in case of NFT take when there isn't a full token to be taken...VALID [written to mutants/Auctions/Auctions.mutant.242.sol] 
PROCESSING MUTANT: 557:             (poolState_.poolType == uint8(PoolType.ERC721) && borrower.collateral < 1e18) || // revert in case of NFT take when there isn't a full token to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC721) && borrower.collateral < 1e0) || // revert in case of NFT take when there isn't a full token to be taken...VALID [written to mutants/Auctions/Auctions.mutant.243.sol] 
PROCESSING MUTANT: 557:             (poolState_.poolType == uint8(PoolType.ERC721) && borrower.collateral < 1e18) || // revert in case of NFT take when there isn't a full token to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC721) && borrower.collateral < 1e1) || // revert in case of NFT take when there isn't a full token to be taken...VALID [written to mutants/Auctions/Auctions.mutant.244.sol] 
PROCESSING MUTANT: 557:             (poolState_.poolType == uint8(PoolType.ERC721) && borrower.collateral < 1e18) || // revert in case of NFT take when there isn't a full token to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC721) && borrower.collateral < 1e18) || //  in case of NFT take when there isn't a full token to be taken...VALID [written to mutants/Auctions/Auctions.mutant.245.sol] 
PROCESSING MUTANT: 558:             (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken  ==>              (poolState_.poolType <= uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken...VALID [written to mutants/Auctions/Auctions.mutant.246.sol] 
PROCESSING MUTANT: 558:             (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral <= 0)      // revert in case of ERC20 take when no collateral to be taken...VALID [written to mutants/Auctions/Auctions.mutant.247.sol] 
PROCESSING MUTANT: 558:             (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken  ==>              (poolState_.poolType >= uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken...VALID [written to mutants/Auctions/Auctions.mutant.248.sol] 
PROCESSING MUTANT: 558:             (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC0 take when no collateral to be taken...VALID [written to mutants/Auctions/Auctions.mutant.249.sol] 
PROCESSING MUTANT: 558:             (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC1 take when no collateral to be taken...VALID [written to mutants/Auctions/Auctions.mutant.250.sol] 
PROCESSING MUTANT: 558:             (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC-1 take when no collateral to be taken...VALID [written to mutants/Auctions/Auctions.mutant.251.sol] 
PROCESSING MUTANT: 558:             (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC(20+1) take when no collateral to be taken...VALID [written to mutants/Auctions/Auctions.mutant.252.sol] 
PROCESSING MUTANT: 558:             (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC(20-1) take when no collateral to be taken...VALID [written to mutants/Auctions/Auctions.mutant.253.sol] 
PROCESSING MUTANT: 558:             (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken  ==>              (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      //  in case of ERC20 take when no collateral to be taken...VALID [written to mutants/Auctions/Auctions.mutant.254.sol] 
PROCESSING MUTANT: 558:             (poolState_.poolType == uint8(PoolType.ERC20)  && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken  ==>              ((1==1) && borrower.collateral == 0)      // revert in case of ERC20 take when no collateral to be taken...VALID [written to mutants/Auctions/Auctions.mutant.255.sol] 
PROCESSING MUTANT: 585:         poolState_.debt   = Maths.wmul(poolState_.t0Debt, poolState_.inflator);  ==>          poolState_.debt   = Maths.wmul( poolState_.inflator,poolState_.t0Debt);...VALID [written to mutants/Auctions/Auctions.mutant.256.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp / 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.257.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp % 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.258.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp + reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.259.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked == 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.260.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked < 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.261.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp == lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.262.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp <= lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.263.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 0 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.264.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 0 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.265.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 1 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.266.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 1 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.267.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 weeks && block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.268.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 seconds || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.269.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 seconds) {...VALID [written to mutants/Auctions/Auctions.mutant.270.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 minutes || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.271.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 minutes) {...VALID [written to mutants/Auctions/Auctions.mutant.272.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 days || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.273.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 hours || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.274.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2  || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.275.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if (block.timestamp < lastBurnTimestamp + 2 weeks || (0==1)) {...VALID [written to mutants/Auctions/Auctions.mutant.276.sol] 
PROCESSING MUTANT: 628:         if (block.timestamp < lastBurnTimestamp + 2 weeks || block.timestamp - reserveAuction_.kicked <= 72 hours) {  ==>          if ((0==1) || block.timestamp - reserveAuction_.kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.277.sol] 
PROCESSING MUTANT: 635:             Maths.wmul(params_.t0PoolDebt, params_.inflator),  ==>              Maths.wmul( params_.inflator,params_.t0PoolDebt),...VALID [written to mutants/Auctions/Auctions.mutant.278.sol] 
PROCESSING MUTANT: 642:         kickerAward_ = Maths.wmul(0.01 * 1e18, claimable);  ==>          kickerAward_ = Maths.wmul( claimable,0.01 * 1e18);...VALID [written to mutants/Auctions/Auctions.mutant.279.sol] 
PROCESSING MUTANT: 646:         if (curUnclaimedAuctionReserve == 0) revert NoReserves();  ==>          if (curUnclaimedAuctionReserve <= 0) revert NoReserves();...VALID [written to mutants/Auctions/Auctions.mutant.280.sol] 
PROCESSING MUTANT: 678:         if (maxAmount_ == 0) revert InvalidAmount();  ==>          if (maxAmount_ <= 0) revert InvalidAmount();...VALID [written to mutants/Auctions/Auctions.mutant.281.sol] 
PROCESSING MUTANT: 682:         if (kicked != 0 && block.timestamp - kicked <= 72 hours) {  ==>          if (kicked != 0 && block.timestamp % kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.282.sol] 
PROCESSING MUTANT: 682:         if (kicked != 0 && block.timestamp - kicked <= 72 hours) {  ==>          if (kicked >= 0 && block.timestamp - kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.283.sol] 
PROCESSING MUTANT: 682:         if (kicked != 0 && block.timestamp - kicked <= 72 hours) {  ==>          if (kicked > 0 && block.timestamp - kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.284.sol] 
PROCESSING MUTANT: 682:         if (kicked != 0 && block.timestamp - kicked <= 72 hours) {  ==>          if (kicked != 0 && block.timestamp - kicked < 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.285.sol] 
PROCESSING MUTANT: 682:         if (kicked != 0 && block.timestamp - kicked <= 72 hours) {  ==>          if (kicked != 1 && block.timestamp - kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.286.sol] 
PROCESSING MUTANT: 682:         if (kicked != 0 && block.timestamp - kicked <= 72 hours) {  ==>          if (kicked != (0+1) && block.timestamp - kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.287.sol] 
PROCESSING MUTANT: 682:         if (kicked != 0 && block.timestamp - kicked <= 72 hours) {  ==>          if ((1==1) && block.timestamp - kicked <= 72 hours) {...VALID [written to mutants/Auctions/Auctions.mutant.288.sol] 
PROCESSING MUTANT: 686:             amount_       = Maths.min(unclaimed, maxAmount_);  ==>              amount_       = Maths.min( maxAmount_,unclaimed);...VALID [written to mutants/Auctions/Auctions.mutant.289.sol] 
PROCESSING MUTANT: 687:             ajnaRequired_ = Maths.wmul(amount_, price);  ==>              ajnaRequired_ = Maths.wmul( price,amount_);...VALID [written to mutants/Auctions/Auctions.mutant.290.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       +  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.291.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       -  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.292.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       /  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.293.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       %  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.294.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC0 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.295.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC1 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.296.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC-1 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.297.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC(20+1) pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.298.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC(20-1) pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.299.sol] 
     break;...VALID [written to mutants/Auctions/Auctions.mutant.300.sol] 
     continue;...VALID [written to mutants/Auctions/Auctions.mutant.301.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_   Collateral remaining after auction is settled ( rounded collateral for NFT pool,same amount for ERC20 pool)....VALID [written to mutants/Auctions/Auctions.mutant.302.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_    remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.303.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_   Collateral  after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.304.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_   Collateral remaining  auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.305.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_   Collateral remaining after  is settled (same amount for ERC20 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.306.sol] 
PROCESSING MUTANT: 722:      *  @return remainingCollateral_   Collateral remaining after auction is settled (same amount for ERC20 pool, rounded collateral for NFT pool).  ==>       *  @return remainingCollateral_   Collateral remaining after auction  settled (same amount for ERC20 pool, rounded collateral for NFT pool)....VALID [written to mutants/Auctions/Auctions.mutant.307.sol] 
